Subject,Start Date,Start Time,End Date,End Time,Location,Description
No One's Child,13/11/2014,18:30,13/11/2014,20:05,Vue in the Light,"No One's Child is based on the remarkable true story of a child who was raised by wolves and found by hunters in the Bosnian woods in 1988. Returned to an orphanage in Belgrade and given the name Haris, he is very slowly reintegrated into human life, developing rudimentary language skills and learning to get [...]

http://www.leedsfilm.com/films/child/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Nocturna,08/11/2014,12:00,08/11/2014,13:20,Hyde Park Picture House,"A LIFF family presentation of the acclaimed Spanish animated feature Nocturna, featuring an English voice cast. Beautifullyanimated and wildly inventive, Nocturna explores the mystery of the night in a sweeping nocturnal adventure full of Alice in Wonderland-like characters and moody, dream-inspired landscapes. Have you ever wondered why your hair looks funny in the morning or [...]

http://www.leedsfilm.com/films/nocturna/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
One Rogue Reporter with guests,15/11/2014,17:30,15/11/2014,18:25,Vue in the Light,"Rich Peppiatt was a hack reporter at The Daily Star until he finally<br /> quit, angered by his editors' obsession of putting sensationalism<br /> over substance and scandal above the truth. What started out as a stand up show at the Edinburgh Fringe has been adapted into an insightful documentary about the behaviours of the tabloid press, including [...]

http://www.leedsfilm.com/films/rogue-reporter-guests/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Paris of the North,07/11/2014,17:00,07/11/2014,18:38,Vue in the Light,"After his brittle comedy drama Either Way, the second feature from Icelandic director Hafsteinn Gunnar SigurÃ°sson once again deals with ideas of isolation and the hell of one's own friends and relations. Hugi is a teacher in a small Icelandic village, dealing with a breakup and subsequent alcohol problems. Enter Hugi's father Veigar, a grizzled [...]

http://www.leedsfilm.com/films/paris-north/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Paris of the North,08/11/2014,18:30,08/11/2014,20:08,Vue in the Light,"After his brittle comedy drama Either Way, the second feature from Icelandic director Hafsteinn Gunnar SigurÃ°sson once again deals with ideas of isolation and the hell of one's own friends and relations. Hugi is a teacher in a small Icelandic village, dealing with a breakup and subsequent alcohol problems. Enter Hugi's father Veigar, a grizzled [...]

http://www.leedsfilm.com/films/paris-north/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Paris of the North,11/11/2014,16:00,11/11/2014,17:38,Vue in the Light,"After his brittle comedy drama Either Way, the second feature from Icelandic director Hafsteinn Gunnar SigurÃ°sson once again deals with ideas of isolation and the hell of one's own friends and relations. Hugi is a teacher in a small Icelandic village, dealing with a breakup and subsequent alcohol problems. Enter Hugi's father Veigar, a grizzled [...]

http://www.leedsfilm.com/films/paris-north/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Patch Town,14/11/2014,17:00,14/11/2014,18:25,Everyman Leeds Trinity,"Once in a while a film comes along that defies convention and classification and is destined to be a cult hit. Patch Town is one such film. With similarities to Dark City, Brazil, Repo! The Genetic Opera and even Elf this black comedy horror sci-fi musical blends these genres into something truly unique. In Patch [...]

http://www.leedsfilm.com/films/patch-town/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Patch Town,16/11/2014,17:00,16/11/2014,18:25,Everyman Leeds Trinity,"Once in a while a film comes along that defies convention and classification and is destined to be a cult hit. Patch Town is one such film. With similarities to Dark City, Brazil, Repo! The Genetic Opera and even Elf this black comedy horror sci-fi musical blends these genres into something truly unique. In Patch [...]

http://www.leedsfilm.com/films/patch-town/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
People on Sunday with live piano accompaniment,16/11/2014,17:00,16/11/2014,18:14,Hyde Park Picture House,"A historic collective work made in Germany by a role call of some of Hollywood's future star directors, Robert Siodmak, Edgar G. Ulmer, Fred Zinneman and Billy Wilder. People on Sunday was arguably the first blend of fiction and documentary and used non-professional actors who actually worked in the jobs described in the film: taxi [...]

http://www.leedsfilm.com/films/people-sunday-live-piano-accompaniment/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Persona,17/11/2014,21:00,17/11/2014,22:25,Hyde Park Picture House,"The most original collaboration between the great Ingmar Bergman and his long-term cinematographer Sven Nykvist shot entirely on the island of Faro, is one of the landmark films of the 1960s. After a bravura, experimental opening sequence, Persona introduces standout roles for two of his regular leads. While convalescing on the coast from an illness [...]

http://www.leedsfilm.com/films/persona-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Persona,19/11/2014,13:30,19/11/2014,14:55,Hyde Park Picture House,"The most original collaboration between the great Ingmar Bergman and his long-term cinematographer Sven Nykvist shot entirely on the island of Faro, is one of the landmark films of the 1960s. After a bravura, experimental opening sequence, Persona introduces standout roles for two of his regular leads. While convalescing on the coast from an illness [...]

http://www.leedsfilm.com/films/persona-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Placido,11/11/2014,13:30,11/11/2014,14:57,Hyde Park Picture House,"Another classic black comedy from Spanish master Luis Garcia Berlanga, Pladico is set in a small spanish town where a group of old ladies decide to celebrate Christmas Eve with a 'Sit a poor man at your table' dinner. Wealthy households invite a homeless person dining with them that night. Placido's family is forced to [...]

http://www.leedsfilm.com/films/placido/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Point and Shoot,07/11/2014,19:00,07/11/2014,20:22,Leeds Town Hall - Albert Room,"Winner of the Best Documentary Award at Tribeca Film Festival, Point and Shoot follows the extraordinary journey of Matt VanDyke, a shy 26-year-old with OCD, who left his sheltered life in Baltimore for a self-described 'crash course in manhood.' With a motorcycle and a video camera he began a three-year trip through Northern Africa and [...]

http://www.leedsfilm.com/films/point-shoot/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Point and Shoot,08/11/2014,17:00,08/11/2014,18:22,Leeds Town Hall - Albert Room,"Winner of the Best Documentary Award at Tribeca Film Festival, Point and Shoot follows the extraordinary journey of Matt VanDyke, a shy 26-year-old with OCD, who left his sheltered life in Baltimore for a self-described 'crash course in manhood.' With a motorcycle and a video camera he began a three-year trip through Northern Africa and [...]

http://www.leedsfilm.com/films/point-shoot/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Poverty Inc,11/11/2014,20:00,11/11/2014,21:34,Leeds Town Hall - Albert Room,"Poverty Inc is an eye opening documentary which asks some difficult questions about the attempts to alleviate poverty in the developing world. The West has initiated a vast multi-billion dollar poverty industry but the results have been mixed, in some cases even catastrophic, and leaders in the developing world are growing increasingly vocal in calling [...]

http://www.leedsfilm.com/films/poverty/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Propaganda Toons!,09/11/2014,17:00,09/11/2014,18:21,Hyde Park Picture House,"War hasn't just left its mark on live action cinema, animation<br /> has often been drafted into the fight too. During WWII countless animated films were produced to help with the war effort, from training films for the army to more overt propaganda. We've selected some of the best and most inventive to screen for you at [...]

http://www.leedsfilm.com/films/propaganda-toons/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Raining Stones,07/11/2014,12:00,07/11/2014,13:46,Hyde Park Picture House,"Screening as part of Leeds Free Cinema Week…One of Ken Loach's finest moments, Raining Stones is a grim story of survival in a depressed Northern town shot through with an underlying warmth and humour that makes it a joy to watch. Bruce Jones (better known as Les Battersby from Coronation Street) and Ricky Tomlinson put [...]

http://www.leedsfilm.com/films/raining-stones/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Refugiado,09/11/2014,15:00,09/11/2014,16:30,Everyman Leeds Trinity,"A suspenseful and passionate drama from Argentine director Diego Lerman (Invisible Eye LIFF2010), Refugiado follows a mother and son on the run after an incident of domestic violence. The story is revealed through the eyes of seven year old Matias who returns home from a friend's birthday party to find his mother, Laura, unconscious on [...]

http://www.leedsfilm.com/films/refugiado/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Refugiado,10/11/2014,15:00,10/11/2014,16:30,Everyman Leeds Trinity,"A suspenseful and passionate drama from Argentine director Diego Lerman (Invisible Eye LIFF2010), Refugiado follows a mother and son on the run after an incident of domestic violence. The story is revealed through the eyes of seven year old Matias who returns home from a friend's birthday party to find his mother, Laura, unconscious on [...]

http://www.leedsfilm.com/films/refugiado/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Rocks in My Pockets,09/11/2014,17:00,09/11/2014,18:28,Everyman Leeds Trinity,"Born in Latvia and based in New York, animator Signe Baumane has long provided refreshingly adult work, unafraid to deal with themes such as sexuality and mortality. In her feature animation debut she continues with her personal and uncompromising examination of life as she explores the nature of her struggle with depression and that of [...]

http://www.leedsfilm.com/films/rocks-pockets/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Rocks in My Pockets,10/11/2014,17:00,10/11/2014,18:28,Everyman Leeds Trinity,"Born in Latvia and based in New York, animator Signe Baumane has long provided refreshingly adult work, unafraid to deal with themes such as sexuality and mortality. In her feature animation debut she continues with her personal and uncompromising examination of life as she explores the nature of her struggle with depression and that of [...]

http://www.leedsfilm.com/films/rocks-pockets/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Romanian Short Film Panorama,07/11/2014,17:00,07/11/2014,18:30,Leeds Town Hall - Albert Room,"With feature films such as the Palme D'Or winning 4 Months, 3 Weeks and 2 Days, The Death of Mr. Lazarescu and Tuesday, After Christmas, the Romanian New Wave has been responsible for some of the most affecting and interesting cinema of the past decade. The same has been true in the world of shorts [...]

http://www.leedsfilm.com/films/romanian-short-film-panorama/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Rurouni Kenshi 2: Kyoto Inferno,11/11/2014,20:30,11/11/2014,22:44,Vue in the Light,"In the second in the trilogy of live-action adaptations of Nobuhiro Watsuki's celebrated manga, Takeru Sato returns as the handsome, taciturn hero, while his nemesis this time is played by Tatsuya Fujiwara (Battle Royale, Death Note). A grand epic set at a time of great change for Japan, the Rurouni Kenshi arc is an imaginative [...]

http://www.leedsfilm.com/films/rurouni-kenshi-2-kyoto-inferno/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Rurouni Kenshi 2: Kyoto Inferno,13/11/2014,15:30,13/11/2014,17:44,Vue in the Light,"In the second in the trilogy of live-action adaptations of Nobuhiro Watsuki's celebrated manga, Takeru Sato returns as the handsome, taciturn hero, while his nemesis this time is played by Tatsuya Fujiwara (Battle Royale, Death Note). A grand epic set at a time of great change for Japan, the Rurouni Kenshi arc is an imaginative [...]

http://www.leedsfilm.com/films/rurouni-kenshi-2-kyoto-inferno/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Sci-fi Shorts,18/11/2014,19:00,18/11/2014,20:30,Everyman Leeds Trinity,"Now in its third year the Fanomenon Sci-fi short film programme is firmly embedded within the LIFF programme and once again brings together a diverse selection of shorts from around the world. From alien attacks to post-apocalyptic dystopias all manner of future worlds are revealed including The Perfect Soldier, produced by Sci-fi London and interestingly [...]

http://www.leedsfilm.com/films/scifi-shorts/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Scrapyard,09/11/2014,20:00,09/11/2014,21:28,Leeds Town Hall - Albert Room,"Screening as part of Leeds Free Cinema WeekIn a patiently revelatory documentary, filmmaker Nadege Trebal rummages through life on the margins to uncover some hidden treasures in a huge scrapyard in an unspecified French town. Every day, hundreds of men pace through the automotive wasteland, spending hours taking carcasses to pieces, looking for the missing [...]

http://www.leedsfilm.com/films/scrapyard/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Scrapyard,12/11/2014,18:00,12/11/2014,19:28,"Chapel FM, Seacroft","Screening as part of Leeds Free Cinema WeekIn a patiently revelatory documentary, filmmaker Nadege Trebal rummages through life on the margins to uncover some hidden treasures in a huge scrapyard in an unspecified French town. Every day, hundreds of men pace through the automotive wasteland, spending hours taking carcasses to pieces, looking for the missing [...]

http://www.leedsfilm.com/films/scrapyard/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Seth's Dominion,09/11/2014,19:00,09/11/2014,19:42,Leeds Town Hall - Albert Room,"Screening as part of Leeds Free Cinema Week…A deft portrait of Canadian cartoonist Seth, one of the world's great storytellers in the form best known for comic books such as Palookaville. In his personal projects he transforms his poignant inner life into observant and witty graphic stories. He is also incredibly prolific, producing semi-autobiographical comics [...]

http://www.leedsfilm.com/films/seths-dominion/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Seth's Dominion,13/11/2014,20:00,13/11/2014,20:42,The Reliance,"Screening as part of Leeds Free Cinema Week…A deft portrait of Canadian cartoonist Seth, one of the world's great storytellers in the form best known for comic books such as Palookaville. In his personal projects he transforms his poignant inner life into observant and witty graphic stories. He is also incredibly prolific, producing semi-autobiographical comics [...]

http://www.leedsfilm.com/films/seths-dominion/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Seventh Heaven with live organ accompaniment,10/11/2014,13:00,10/11/2014,14:50,Leeds Town Hall - Victoria Hall,"Screening as part of Leeds Free Cinema Week…One of the first films to be nominated for €œBest Picture€� at the Academy Awards, Seventh Heaven is a gorgeous and gloriously sentimental romantic melodrama in which a kind hearted sewer cleaner saves a young prostitute from a beating at the hands of her abusive older sister. After [...]

http://www.leedsfilm.com/films/seventh-heaven-live-organ-accompaniment/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Seventh Heaven with live organ accompaniment,13/11/2014,19:00,13/11/2014,20:50,"Chapel FM, Seacroft","Screening as part of Leeds Free Cinema Week…One of the first films to be nominated for €œBest Picture€� at the Academy Awards, Seventh Heaven is a gorgeous and gloriously sentimental romantic melodrama in which a kind hearted sewer cleaner saves a young prostitute from a beating at the hands of her abusive older sister. After [...]

http://www.leedsfilm.com/films/seventh-heaven-live-organ-accompaniment/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Shame,19/11/2014,15:30,19/11/2014,17:13,Hyde Park Picture House,"Shot on Faro but set in an unnamed island during the onslaught of a civil war, Shame is about the effects of war on an apolitical couple played with an incredible intensity and vulnerability by Max von Sydow and Liv Ullmann. Bergman gave them freedom to improvise some dialogue for the first time in their [...]

http://www.leedsfilm.com/films/shame-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Short Peace,09/11/2014,14:45,09/11/2014,15:53,Leeds Town Hall - Victoria Hall,"The acclaimed anthology Short Peace, conceived by the creator of Akira, Katsuhiro Ã”tomo, features four dystopian shorts from some of Japan's most exciting creative talent. Ã”tomo's contribution, Combustible, is a tragic story about a firefighter set in the Edo period. In the Oscar-nominated Possessions from Shuhei Morita, a traveller seeks shelter in a magical Shinto [...]

http://www.leedsfilm.com/films/short-peace/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Show Pieces with Alan Moore & Mitch Jenkins,14/11/2014,18:00,14/11/2014,19:12,Leeds Town Hall - Victoria Hall,"Alan Moore, one of the greatest graphic novelists of all time, will attend LIFF28 with Show Pieces, his new film collaboration with director Mitch Jenkins. From the creator of ground-breaking works including Watchmen, The League Of Extraordinary Gentlemen, From Hell, and V For Vendetta, the three-part Show Pieces is Alan Moore's first endeavour written specifically [...]

http://www.leedsfilm.com/films/show-pieces-alan-moore-mitch-jenkins/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Silver Melies Fantastic Short Film Competition,08/11/2014,16:00,08/11/2014,17:30,Leeds Town Hall - Victoria Hall,"The European Fantastic Film Festivals' Federation exists to raise the profile of European fantastic films through its Melies competition, which is hosted by numerous film festivals across Europe. The winning film from Leeds, chosen by the audience, goes forward to compete for the coveted Melies d'Or at Sitges International Fantastic Film Festival next year. The [...]

http://www.leedsfilm.com/films/silver-mlis-fantastic-short-film-competition/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
"Silvered Water, Syria Self Portrait",09/11/2014,16:30,09/11/2014,18:03,Vue in the Light,"Silvered Water is one of the most powerful documentaries of recent years, made up of a mosaic of amateur footage shot by '1,001 Syrians', heartbreaking eye witness accounts of the horrors of civil war. Ossama Mohammed is a Syrian filmmaker who lives in Paris and struggles to come to terms with the events in his [...]

http://www.leedsfilm.com/films/silvered-water-syria-portrait/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Song of the Sea,15/11/2014,12:00,15/11/2014,13:33,Hyde Park Picture House,"Director Tomm Moore's follow up to Secret of the Kells is a spellbinding new animation based on Irish folklore, the legend of the selkies who live as seals in the water and humans on land. Ben and Saoirse live in a lighthouse with their father, still grieving for his wife who died several years before. [...]

http://www.leedsfilm.com/films/song-sea/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Song of the Sea,16/11/2014,15:00,16/11/2014,16:33,Hyde Park Picture House,"Director Tomm Moore's follow up to Secret of the Kells is a spellbinding new animation based on Irish folklore, the legend of the selkies who live as seals in the water and humans on land. Ben and Saoirse live in a lighthouse with their father, still grieving for his wife who died several years before. [...]

http://www.leedsfilm.com/films/song-sea/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Songs from the Second Floor,13/11/2014,15:00,13/11/2014,16:38,Everyman Leeds Trinity,"One of the first great films of the 21st Century, Roy Andersson's disarmingly offbeat tragicomedy explores the paranoia and psychosis of Scandinavian life at the dawning of the new millennium. A series of interconnected vignettes portrays an absurdist urban mayhem from the hilarious to the heartbreaking. Endless queues, burned office buildings, toxic traffic jams and [...]

http://www.leedsfilm.com/films/songs-floor/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Songs from the Second Floor,16/11/2014,15:00,16/11/2014,16:38,Everyman Leeds Trinity,"One of the first great films of the 21st Century, Roy Andersson's disarmingly offbeat tragicomedy explores the paranoia and psychosis of Scandinavian life at the dawning of the new millennium. A series of interconnected vignettes portrays an absurdist urban mayhem from the hilarious to the heartbreaking. Endless queues, burned office buildings, toxic traffic jams and [...]

http://www.leedsfilm.com/films/songs-floor/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Sound of Noise,13/11/2014,21:00,13/11/2014,22:42,Leeds Town Hall - Victoria Hall,"Screening as part of Leeds Free Cinema Week…A former LIFF audience favourite, Swedish musical crime comedy Sound of Nose returns with a free screening as the closing film of Leeds Free Cinema Week. Police officer Amadeus Warnebring has suffered his whole life from a fear of music in all its forms and he is dreading [...]

http://www.leedsfilm.com/films/sound-noise-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Stations of the Cross,13/11/2014,18:00,13/11/2014,19:47,Hyde Park Picture House,"Stations of the Cross is a deeply moving human drama and a searing indictment of religious intolerance. It's also a beautifully composed art film that is made up of a series of 14 fixed-angle long shots inspired by the stations of the cross, a series of images re-telling the story of Christ. Maria is 14 [...]

http://www.leedsfilm.com/films/stations-cross/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Stations of the Cross,16/11/2014,18:15,16/11/2014,20:02,Vue in the Light,"Stations of the Cross is a deeply moving human drama and a searing indictment of religious intolerance. It's also a beautifully composed art film that is made up of a series of 14 fixed-angle long shots inspired by the stations of the cross, a series of images re-telling the story of Christ. Maria is 14 [...]

http://www.leedsfilm.com/films/stations-cross/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Stop Making Sense,15/11/2014,18:00,15/11/2014,19:28,Leeds Town Hall - Victoria Hall,"LIFF28 celebrates the 30th anniversary of the most innovative concert film of all time with the UK Premiere of a brand new digital print of Stop Making Sense. New York's avant-pop masters the Talking Heads were at the height of their powers when they created a film which collapsed the boundaries between concert and cinema. [...]

http://www.leedsfilm.com/films/stop-making-sense/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Stray Dogs,16/11/2014,13:00,16/11/2014,15:18,Vue in the Light,"Tsai Ming Liang's modern masterpiece of slow cinema combines his trademark deadpan humour with a series of beautifully composed long shots. The story follows a father and his two children who wander the margins of modern day Taipei. By day the father scrapes out a meager income as a human billboard for luxury apartments, while [...]

http://www.leedsfilm.com/films/stray-dogs/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
